"","dates","first_reg"
"1","2018-12-31",NA
"2","2018-12-28",-1.64704468984951
"3","2018-12-27",-1.66399379869217
"4","2018-12-24",-1.69717928406941
"5","2018-12-21",-1.65873744983354
"6","2018-12-20",-1.60518884221416
"7","2018-12-19",-1.63135189256768
"8","2018-12-18",-1.60928773731336
"9","2018-12-17",-1.63375949021843
"10","2018-12-14",-1.62381923935996
"11","2018-12-13",-1.61935938868795
"12","2018-12-12",-1.64778316404076
"13","2018-12-11",-1.65779943361335
"14","2018-12-10",-1.62587531867054
"15","2018-12-07",-1.62546452714268
"16","2018-12-06",-1.63040896007799
"17","2018-12-05",-1.66355763479949
"18","2018-12-04",-1.69783791992575
"19","2018-12-03",-1.68596614378454
"20","2018-11-30",-1.70505402258592
"21","2018-11-29",-1.71025002336185
"22","2018-11-28",-1.72149402362775
"23","2018-11-27",-1.73497565791463
"24","2018-11-26",-1.67540952029263
"25","2018-11-23",-1.69013322053821
"26","2018-11-22",-1.69461055027753
"27","2018-11-21",-1.69977468319541
"28","2018-11-20",-1.71444186816827
"29","2018-11-19",-1.68695973650602
"30","2018-11-16",-1.69439320549399
"31","2018-11-15",-1.68069939025436
"32","2018-11-14",-1.72077919178703
"33","2018-11-13",-1.7200858914587
"34","2018-11-12",NA
"35","2018-11-09",-1.70221451024281
"36","2018-11-08",-1.70455955017069
"37","2018-11-07",-1.70922510883933
"38","2018-11-06",-1.7149904481664
"39","2018-11-05",-1.71490430068226
"40","2018-11-02",-1.72646618008892
"41","2018-11-01",-1.7279562287673
"42","2018-10-31",-1.73811212976846
"43","2018-10-30",-1.73883723667746
"44","2018-10-29",-1.73159489710967
"45","2018-10-26",-1.7086902415326
"46","2018-10-25",-1.71759544041503
"47","2018-10-24",-1.72100508576015
"48","2018-10-23",-1.65477375590321
"49","2018-10-22",-1.65165859796578
"50","2018-10-19",-1.65627583659749
"51","2018-10-18",-1.60426629444335
"52","2018-10-17",-1.631833292098
"53","2018-10-16",-1.56679329533698
"54","2018-10-15",-1.64092448460944
"55","2018-10-12",-1.53968851649956
"56","2018-10-11",-1.54630584569067
"57","2018-10-10",-1.57692306068949
"58","2018-10-09",-1.57830182830139
"59","2018-10-05",-1.59419074004381
"60","2018-10-04",-1.51620599269668
"61","2018-10-03",-1.61591424758362
"62","2018-10-02",-1.56341582091547
"63","2018-10-01",-1.59455584028804
"64","2018-09-28",-1.59194361672835
"65","2018-09-27",-1.55181862844138
"66","2018-09-26",-1.51217838174665
"67","2018-09-25",-1.580606074791
"68","2018-09-24",-1.56704199975247
"69","2018-09-21",-1.50896344214014
"70","2018-09-20",-1.55057320925192
"71","2018-09-19",-1.55400248012806
"72","2018-09-18",-1.49714551744073
"73","2018-09-17",-1.52702026395406
"74","2018-09-14",-1.52427798298964
"75","2018-09-13",-1.52073686608174
"76","2018-09-12",-1.51704407629042
"77","2018-09-11",-1.48717740638046
"78","2018-09-10",-1.50231138952615
"79","2018-09-07",-1.51793236656629
"80","2018-09-06",-1.49934118157347
"81","2018-09-05",-1.48772067293699
"82","2018-09-04",-1.54853136794974
"83","2018-08-31",-1.52371334068262
"84","2018-08-30",-1.51331612348434
"85","2018-08-29",-1.53885770648888
"86","2018-08-28",-1.53212325456775
"87","2018-08-27",-1.52456449567424
"88","2018-08-24",-1.52536965653356
"89","2018-08-23",-1.53179136864536
"90","2018-08-22",-1.50874439570247
"91","2018-08-21",-1.51307694882947
"92","2018-08-20",-1.47791372645272
"93","2018-08-17",-1.48044699069255
"94","2018-08-16",-1.45600354079218
"95","2018-08-15",-1.48475789605824
"96","2018-08-14",-1.46871720624207
"97","2018-08-13",-1.46489264936873
"98","2018-08-10",-1.44534175573459
"99","2018-08-09",-1.45445686460662
"100","2018-08-08",-1.4662070043857
"101","2018-08-07",-1.47176522391467
"102","2018-08-03",-1.41177840174851
"103","2018-08-02",-1.45066990661035
"104","2018-08-01",-1.45197446649087
"105","2018-07-31",-1.44650724221575
"106","2018-07-30",-1.44538517707192
"107","2018-07-27",-1.40703282248937
"108","2018-07-26",-1.40623647560083
"109","2018-07-25",-1.40212075084356
"110","2018-07-24",-1.44186965132879
"111","2018-07-23",-1.38812684652733
"112","2018-07-20",-1.38910484152411
"113","2018-07-19",-1.3734592802166
"114","2018-07-18",-1.39396539980656
"115","2018-07-17",-1.41746326319637
"116","2018-07-16",-1.4114831227395
"117","2018-07-13",-1.41597444069041
"118","2018-07-12",-1.41961954325807
"119","2018-07-11",-1.45905993737446
"120","2018-07-10",-1.44199634338477
"121","2018-07-09",-1.35582513687174
"122","2018-07-06",-1.28489299199374
"123","2018-07-05",-1.21642569523528
"124","2018-07-04",-1.25765774120493
"125","2018-07-03",-1.20254527832488
"126","2018-06-29",-1.25910841655848
"127","2018-06-28",-1.23600820772151
"128","2018-06-27",-1.24682325522668
"129","2018-06-26",-1.23699347528625
"130","2018-06-25",-1.18590288826899
"131","2018-06-22",-1.18355785905833
"132","2018-06-21",-1.2169847245142
"133","2018-06-20",-1.18474755105687
"134","2018-06-19",-1.21636380244808
"135","2018-06-18",-1.23588762240677
"136","2018-06-15",-1.2242236883012
"137","2018-06-14",-1.22910510906622
"138","2018-06-13",-1.26387042654174
"139","2018-06-12",-1.26857368249467
"140","2018-06-11",-1.24157776382835
"141","2018-06-08",-1.23372615709767
"142","2018-06-07",-1.24061103333894
"143","2018-06-06",-1.25054959081241
"144","2018-06-05",-1.26380628800918
"145","2018-06-04",-1.2643479907239
"146","2018-06-01",-1.26054199392571
"147","2018-05-31",-1.26887805030074
"148","2018-05-30",-1.29079692463344
"149","2018-05-29",-1.2978573706573
"150","2018-05-28",-1.27412784329846
"151","2018-05-25",-1.2762787078343
"152","2018-05-24",-1.27764244085544
"153","2018-05-23",-1.25874638836199
"154","2018-05-22",-1.25931820153138
"155","2018-05-18",-1.25891605964698
"156","2018-05-17",-1.26115702568481
"157","2018-05-16",-1.25219901390395
"158","2018-05-15",-1.27063941769979
"159","2018-05-14",-1.23075787971945
"160","2018-05-11",-1.21635971343852
"161","2018-05-10",-1.21148904201825
"162","2018-05-09",-1.2130514862621
"163","2018-05-08",-1.2142800871631
"164","2018-05-07",-1.21215244785171
"165","2018-05-04",-1.21500988196038
"166","2018-05-03",-1.20685979047629
"167","2018-05-02",-1.21959028319944
"168","2018-05-01",-1.21057589309983
"169","2018-04-30",-1.19070427493131
"170","2018-04-27",-1.18609172287932
"171","2018-04-26",-1.19199763743587
"172","2018-04-25",-1.20817259727807
"173","2018-04-24",-1.18211477939189
"174","2018-04-23",-1.18514766369451
"175","2018-04-20",-1.19435952737602
"176","2018-04-19",-1.19193095034174
"177","2018-04-18",-1.19510821467755
"178","2018-04-17",-1.22137799066323
"179","2018-04-16",-1.16344547521848
"180","2018-04-13",-1.1617254705972
"181","2018-04-12",-1.15030772521933
"182","2018-04-11",-1.14074655774303
"183","2018-04-10",-1.12972478402058
"184","2018-04-09",-1.12225391098743
"185","2018-04-06",-1.12133308403371
"186","2018-04-05",-1.1102219173444
"187","2018-04-04",-1.13248358781729
"188","2018-04-03",-1.11891855836188
"189","2018-04-02",-1.89784595044925
"190","2018-03-29",-1.0898905705459
"191","2018-03-28",-1.91284541959257
"192","2018-03-27",-1.89694791641299
"193","2018-03-26",-1.09458475749898
"194","2018-03-23",-1.90489583464593
"195","2018-03-22",-1.08842592840485
"196","2018-03-21",-1.09211680549824
"197","2018-03-20",-1.90375746650671
"198","2018-03-19",-1.60172895157168
"199","2018-03-16",-1.6921806220289
"200","2018-03-15",-1.60259050470077
"201","2018-03-14",-1.70108483404746
"202","2018-03-13",-1.90041523995518
"203","2018-03-12",-1.10270336388577
"204","2018-03-09",-1.90173023687182
"205","2018-03-08",-1.10250995714988
"206","2018-03-07",-1.1142539327724
"207","2018-03-06",-1.11530779650255
"208","2018-03-05",-1.13025090638596
"209","2018-03-02",-1.15008282434328
"210","2018-03-01",-1.13938897395844
"211","2018-02-28",-1.13683641711056
"212","2018-02-27",-1.12520336488343
"213","2018-02-26",-1.13722420749791
"214","2018-02-23",-1.15484897542139
"215","2018-02-22",-1.15833198868178
"216","2018-02-21",-1.15898119673454
"217","2018-02-20",-1.16544960119814
"218","2018-02-16",-1.12914509516783
"219","2018-02-15",-1.14290562204005
"220","2018-02-14",-1.15515329276888
"221","2018-02-13",-1.15729368595489
"222","2018-02-12",-1.15833073367726
"223","2018-02-09",-1.1836072527493
"224","2018-02-08",-1.17793145039742
"225","2018-02-07",-1.18241025867688
"226","2018-02-06",-1.19782782259994
"227","2018-02-05",-1.19189408843194
"228","2018-02-02",-1.18231472217123
"229","2018-02-01",-1.18366651345636
"230","2018-01-31",-1.19427524278183
"231","2018-01-30",-1.19976179310333
"232","2018-01-29",-1.19127572341826
"233","2018-01-26",-1.19102188930211
"234","2018-01-25",-1.19216760644473
"235","2018-01-24",-1.20505059275488
"236","2018-01-23",-1.20549259938339
"237","2018-01-22",-1.18058685927211
"238","2018-01-19",-1.17966356740886
"239","2018-01-18",-1.19421928027639
"240","2018-01-17",-1.17740856673524
"241","2018-01-16",-1.18170272030894
"242","2018-01-15",-1.16552734158433
"243","2018-01-12",-1.15388470484354
"244","2018-01-11",-1.15130607938002
"245","2018-01-10",-1.17238844654699
"246","2018-01-09",-1.15561791020433
"247","2018-01-08",-1.11009191626931
"248","2018-01-05",-1.69805731226698
"249","2018-01-04",-1.59611606551425
"250","2018-01-03",-1.60251636097314
"251","2018-01-02",-1.50376258951301
"252","2017-12-29",-1.6061864126916
"253","2017-12-28",-1.59920412661337
"254","2017-12-27",-1.50116510855628
"255","2017-12-22",-1.20233287487655
"256","2017-12-21",-1.29892981854907
"257","2017-12-20",-0.991415063991775
"258","2017-12-19",-0.951627493312539
"259","2017-12-18",-0.930111618255071
"260","2017-12-15",-0.945554291649417
"261","2017-12-14",-0.931589577359431
"262","2017-12-13",-0.90250150725814
"263","2017-12-12",-0.911400518668592
"264","2017-12-11",-0.880651607298002
"265","2017-12-08",-0.890459551712361
"266","2017-12-07",-0.894994962503528
"267","2017-12-06",-0.89667472472002
"268","2017-12-05",-0.899566253263315
"269","2017-12-04",-0.886651117805251
"270","2017-12-01",-0.875616506982278
"271","2017-11-30",-0.878223081239479
"272","2017-11-29",-0.886211283958301
"273","2017-11-28",-0.876123460908955
"274","2017-11-27",-0.869220192624588
"275","2017-11-24",-0.865885825321582
"276","2017-11-23",-0.872098311086996
"277","2017-11-22",-0.870043559968925
"278","2017-11-21",-0.869807100707034
"279","2017-11-20",-0.874497179341721
"280","2017-11-17",-0.870362449192615
"281","2017-11-16",-0.873950296872512
"282","2017-11-15",-0.873570691015215
"283","2017-11-14",-0.867820977485279
"284","2017-11-13",NA
"285","2017-11-10",-0.869188833345303
"286","2017-11-09",-0.867331566557123
"287","2017-11-08",-0.868551135575173
"288","2017-11-07",-0.86836083466669
"289","2017-11-06",-0.872454754613786
"290","2017-11-03",-0.874474217268461
"291","2017-11-02",-0.900324602373048
"292","2017-11-01",-0.909107099281923
"293","2017-10-31",-0.910230839527928
"294","2017-10-30",-0.921422711446453
"295","2017-10-27",-0.933080698727769
"296","2017-10-26",-0.92388005083524
"297","2017-10-25",-0.922315676514978
"298","2017-10-24",-0.866827471515336
"299","2017-10-23",-0.913099622461472
"300","2017-10-20",-0.929911679636649
"301","2017-10-19",-0.93247207543059
"302","2017-10-18",-0.95226323207738
"303","2017-10-17",-0.957801308083077
"304","2017-10-16",-0.960897786269684
"305","2017-10-13",-0.969715238538701
"306","2017-10-12",-0.964112050154243
"307","2017-10-11",-0.976302918570526
"308","2017-10-10",-0.961898686062227
"309","2017-10-06",-0.982669595251622
"310","2017-10-05",-0.966948176179555
"311","2017-10-04",-0.993505245569844
"312","2017-10-03",-0.999522931111252
"313","2017-10-02",-1.00149410306132
"314","2017-09-29",-1.00446352174467
"315","2017-09-28",-1.00106176474329
"316","2017-09-27",-0.990550611148932
"317","2017-09-26",-1.00868694365081
"318","2017-09-25",-0.997279286868781
"319","2017-09-22",-1.00399582366951
"320","2017-09-21",-0.999954692187809
"321","2017-09-20",-1.0042252476786
"322","2017-09-19",-1.00627694101564
"323","2017-09-18",-1.20368141012228
"324","2017-09-15",-1.00418070803945
"325","2017-09-14",-0.99001975911158
"326","2017-09-13",-0.993025195872197
"327","2017-09-12",-0.958902571183991
"328","2017-09-11",-0.966808285017761
"329","2017-09-08",-0.943656841998702
"330","2017-09-07",-0.9573840900409
"331","2017-09-06",-0.937650517155313
"332","2017-09-05",-0.897981354971936
"333","2017-09-01",-0.803280446071643
"334","2017-08-31",-0.758663683711887
"335","2017-08-30",-0.715180206284194
"336","2017-08-29",-0.713330409189273
"337","2017-08-28",-0.732035457484607
"338","2017-08-25",-0.719734254584108
"339","2017-08-24",-0.708658329237513
"340","2017-08-23",-0.720862286241351
"341","2017-08-22",-0.745191472860193
"342","2017-08-21",-0.73220884944945
"343","2017-08-18",-0.719973286740176
"344","2017-08-17",-0.724562722453384
"345","2017-08-16",-0.726767202315878
"346","2017-08-15",-0.71896569401027
"347","2017-08-14",-0.718536171741218
"348","2017-08-11",-0.725720937159843
"349","2017-08-10",-0.717279430272842
"350","2017-08-09",-0.720513655569424
"351","2017-08-08",-0.747430517470179
"352","2017-08-04",-0.719895151611192
"353","2017-08-03",-0.724325599685411
"354","2017-08-02",-0.715155370655608
"355","2017-08-01",-0.734159679385444
