company,time,financial leverage
TCS,"Oct. 31, 2018",0.0023
,"July 31, 2018",0.0026
,"April 30, 2018",0.0028
,"Jan. 31, 2018",0.0032
,"Oct. 31, 2017",0.0037
,"July 31, 2017",0.0041
,"April 30, 2017",0.0062
,"Jan. 31, 2017",0.0841
,"Oct. 31, 2016",0.1003
,"July 31, 2016",0.1127
,"April 30, 2016",0.1218
,"Jan. 31, 2016",0.1614
,"Oct. 31, 2015",0.177
,"July 31, 2015",0.1962
,"April 30, 2015",0.205
,"Jan. 31, 2015",0.1855
,"Oct. 31, 2014",0.1956
,"July 31, 2014",0.2119
,"April 30, 2014",0.2109
,"Jan. 31, 2014",0.2363
KXS,"Dec. 31, 2018",0
,"Sept. 30, 2018",0
,"June 30, 2018",0
,"March 31, 2018",0
,"Dec. 31, 2017",0
,"Sept. 30, 2017",0
,"June 30, 2017",0
,"March 31, 2017",0
,"Dec. 31, 2016",0
,"Sept. 30, 2016",0
,"June 30, 2016",0
,"March 31, 2016",0
,"Dec. 31, 2015",0
,"Sept. 30, 2015",0
,"June 30, 2015",0
,"March 31, 2015",0
,"Dec. 31, 2014",0
,"Sept. 30, 2014",0
,"June 30, 2014",0
,"March 31, 2014",
CSU,"Dec. 31, 2018",0.4495
,"Sept. 30, 2018",0.5903
,"June 30, 2018",0.4624
,"March 31, 2018",0.4575
,"Dec. 31, 2017",0.5867
,"Sept. 30, 2017",0.6092
,"June 30, 2017",0.741
,"March 31, 2017",0.7742
,"Dec. 31, 2016",0.8035
,"Sept. 30, 2016",0.9128
,"June 30, 2016",1.045
,"March 31, 2016",1.172
,"Dec. 31, 2015",1.116
,"Sept. 30, 2015",1.324
,"June 30, 2015",1.427
,"March 31, 2015",1.146
,"Dec. 31, 2014",1.216
,"Sept. 30, 2014",1.516
,"June 30, 2014",1.796
,"March 31, 2014",1.989
TVK,"Dec. 31, 2018",1.302
,"Sept. 30, 2018",1.199
,"June 30, 2018",1.264
,"March 31, 2018",1.126
,"Dec. 31, 2017",0.808
,"Sept. 30, 2017",0.8978
,"June 30, 2017",0.8494
,"March 31, 2017",0.7344
,"Dec. 31, 2016",0.6224
,"Sept. 30, 2016",0.6222
,"June 30, 2016",0.63
,"March 31, 2016",0.5669
,"Dec. 31, 2015",0.6548
,"Sept. 30, 2015",0.7712
,"June 30, 2015",0.746
,"March 31, 2015",0.7063
,"Dec. 31, 2014",0.6044
,"Sept. 30, 2014",0.764
,"June 30, 2014",0.822
,"March 31, 2014",1.138
PKI,"Dec. 31, 2018",1.264
,"Sept. 30, 2018",1.273
,"June 30, 2018",1.225
,"March 31, 2018",1.248
,"Dec. 31, 2017",1.232
,"Sept. 30, 2017",1.568
,"June 30, 2017",1.184
,"March 31, 2017",1.039
,"Dec. 31, 2016",1.052
,"Sept. 30, 2016",0.9589
,"June 30, 2016",0.5335
,"March 31, 2016",0.5419
