company,time,shares outstanding
TCS,"Nov. 29, 2018",13.08M
,"Sept. 6, 2018",13.08M
,"April 30, 2018",13.08M
,"Jan. 31, 2018",12.32M
,"Nov. 30, 2017",13.08M
,"Oct. 31, 2017",13.08M
,"Sept. 7, 2017",13.08M
,"July 31, 2017",13.08M
,"June 27, 2017",13.08M
,"April 30, 2017",12.32M
,"March 31, 2017",12.32M
,"Feb. 28, 2017",12.32M
,"Dec. 1, 2016",12.32M
,"July 31, 2016",12.32M
,"April 30, 2016",12.32M
,"Oct. 31, 2015",12.32M
,"Sept. 10, 2015",12.32M
,"April 30, 2015",12.32M
,"Jan. 31, 2015",11.54M
,"Nov. 25, 2014",11.54M
,"Sept. 11, 2014",11.54M
,"July 8, 2014",11.54M
,"Jan. 31, 2014",11.45M
KXS,"Dec. 31, 2018",26.08M
,"Sept. 30, 2018",26.02M
,"June 30, 2018",25.93M
,"March 31, 2018",25.64M
,"Dec. 31, 2017",25.51M
,"Sept. 30, 2017",25.44M
,"June 30, 2017",25.41M
,"March 31, 2017",25.29M
,"Dec. 31, 2016",24.94M
,"Sept. 30, 2016",24.83M
,"June 30, 2016",24.68M
,"March 31, 2016",24.48M
,"Dec. 31, 2015",24.42M
,"Sept. 30, 2015",24.12M
,"June 30, 2015",23.90M
,"March 31, 2015",23.81M
,"Dec. 31, 2014",23.74M
,"Sept. 30, 2014",23.61M
,"June 30, 2014",23.59M
CSU,"Dec. 31, 2018",21.19M
,"Sept. 30, 2018",21.19M
,"June 30, 2018",21.19M
,"March 31, 2018",21.19M
,"Dec. 31, 2017",21.19M
,"Sept. 30, 2017",21.19M
,"June 30, 2017",21.19M
,"March 31, 2017",21.19M
,"Dec. 31, 2016",21.19M
,"Sept. 30, 2016",21.19M
,"June 30, 2016",21.19M
,"March 31, 2016",21.19M
,"Dec. 31, 2015",21.19M
,"Sept. 30, 2015",21.19M
,"June 30, 2015",21.19M
,"March 31, 2015",21.19M
,"Dec. 31, 2014",21.19M
,"Sept. 30, 2014",21.19M
,"June 30, 2014",21.19M
,"March 31, 2014",21.19M
TVK,"Dec. 31, 2018",17.05M
,"Oct. 22, 2018",17.03M
,"Sept. 30, 2018",17.63M
,"June 30, 2018",17.42M
,"May 1, 2018",17.16M
,"March 31, 2018",18.47M
,"Jan. 29, 2018",18.27M
,"Dec. 31, 2017",18.27M
,"Sept. 30, 2017",18.37M
,"June 30, 2017",18.34M
,"March 31, 2017",18.29M
,"Dec. 31, 2016",18.32M
,"Sept. 30, 2016",18.32M
,"June 30, 2016",18.32M
,"March 31, 2016",18.24M
,"Dec. 31, 2015",18.27M
,"Sept. 30, 2015",18.30M
,"June 30, 2015",18.08M
,"March 31, 2015",18.08M
,"Dec. 31, 2014",18.10M
,"Sept. 30, 2014",18.11M
,"June 30, 2014",17.70M
,"March 31, 2014",14.42M
PKI,"Dec. 31, 2018",133.67M
,"Sept. 30, 2018",133.00M
,"June 30, 2018",132.46M
,"March 31, 2018",131.73M
,"Dec. 31, 2017",131.23M
,"Sept. 30, 2017",130.70M
,"June 30, 2017",130.37M
,"June 28, 2017",130.10M
,"May 9, 2017",120.70M
,"May 2, 2017",96.70M
,"March 31, 2017",96.58M
,"Dec. 31, 2016",96.24M
,"Sept. 30, 2016",95.85M
,"June 30, 2016",95.42M
,"March 31, 2016",94.17M
,"Dec. 31, 2015",93.86M
,"Sept. 30, 2015",90.78M
,"June 30, 2015",89.93M
,"March 31, 2015",82.91M
,"Dec. 31, 2014",82.11M
,"Sept. 30, 2014",76.06M
,"June 30, 2014",74.76M
,"March 31, 2014",73.76M
SU,"Dec. 31, 2018",1.584B
,"Oct. 29, 2018",1.605B
,"July 23, 2018",1.624B
,"June 7, 2018",1.631B
,"April 27, 2018",1.634B
,"Feb. 27, 2018",1.639B
,"Feb. 23, 2018",1.639B
,"Dec. 31, 2017",1.641B
,"Oct. 23, 2017",1.655B
,"Sept. 30, 2017",1.656B
,"July 24, 2017",1.659B
,"April 21, 2017",1.669B
,"Feb. 24, 2017",1.669B
,"Dec. 31, 2016",1.668B
,"Oct. 24, 2016",1.665B
,"July 25, 2016",1.664B
,"April 25, 2016",1.582B
,"Feb. 22, 2016",1.545B
,"Dec. 31, 2015",1.446B
,"Oct. 22, 2015",1.445B
,"July 23, 2015",1.446B
,"April 22, 2015",1.446B
,"Feb. 23, 2015",1.445B
,"Dec. 31, 2014",1.444B
,"Oct. 22, 2014",1.452B
,"July 23, 2014",1.465B
,"April 21, 2014",1.468B
,"Feb. 24, 2014",1.471B
ZYME,"Nov. 5, 2018",31.97M
,"Sept. 30, 2018",31.96M
,"July 31, 2018",31.96M
,"June 30, 2018",31.95M
,"June 11, 2018",31.77M
,"May 24, 2018",25.56M
,"May 18, 2018",25.55M
,"April 30, 2018",25.46M
,"April 20, 2018",25.46M
,"March 31, 2018",25.46M
,"March 12, 2018",25.46M
,"Feb. 28, 2018",25.46M
,"Dec. 31, 2017",25.44M
,"Nov. 8, 2017",25.38M
,"Sept. 30, 2017",25.34M
,"Aug. 8, 2017",25.34M
,"June 30, 2017",25.33M
,"May 31, 2017",25.32M
,"April 28, 2017",24.92M
,"April 17, 2017",24.20M
,"March 31, 2017",13.21M
CSH.UN,"Dec. 31, 2018",210.99M
,"Sept. 30, 2018",210.61M
,"June 30, 2018",210.23M
,"March 31, 2018",209.85M
,"Dec. 31, 2017",209.48M
,"Nov. 24, 2017",209.13M
,"Sept. 30, 2017",191.40M
,"June 30, 2017",190.99M
,"March 31, 2017",190.47M
,"Dec. 31, 2016",190.10M
,"Sept. 30, 2016",189.70M
,"June 30, 2016",189.32M
,"March 31, 2016",182.10M
,"Dec. 31, 2015",181.69M
,"Sept. 30, 2015",180.03M
,"June 30, 2015",179.55M
,"March 31, 2015",179.07M
,"Dec. 31, 2014",178.69M
,"Sept. 30, 2014",178.31M
,"June 30, 2014",177.88M
,"March 31, 2014",177.35M
WEED,"Dec. 31, 2018",342.98M
,"Nov. 26, 2018",339.85M
,"Nov. 1, 2018",333.63M
,"Oct. 26, 2018",229.13M
,"Oct. 25, 2018",229.09M
,"Sept. 30, 2018",223.75M
,"Sept. 5, 2018",229.03M
,"Aug. 22, 2018",221.85M
,"Aug. 3, 2018",203.67M
,"July 5, 2018",200.59M
,"June 30, 2018",201.32M
,"May 30, 2018",199.40M
,"May 11, 2018",198.73M
,"April 16, 2018",198.40M
,"March 31, 2018",200.99M
,"Feb. 13, 2018",198.35M
,"Feb. 7, 2018",198.23M
,"Jan. 31, 2018",192.43M
,"Jan. 25, 2018",185.82M
,"Dec. 31, 2017",190.96M
,"Nov. 2, 2017",185.79M
