"dates";"open_price_total";"high_total";"low_total";"close_price_total";"adj_close_price_total";"volume_total";"rate"
"2018-12-31";14312.400391;14349.200195;14218.5;14322.900391;14322.900391;171356600;"1.64"
"2018-12-28";14234.200195;14326.900391;14174.0;14222.0;14222.0;266928600;"1.64"
"2018-12-27";14018.0;14165.5;13918.299805;14165.200195;14165.200195;235414700;"1.66"
"2018-12-24";13857.799805;13924.0;13776.900391;13780.200195;13780.200195;170610500;"1.67"
"2018-12-21";14161.799805;14220.900391;13924.400391;13935.400391;13935.400391;614345800;"1.67"
"2018-12-20";14244.700195;14341.700195;14075.900391;14141.799805;14141.799805;308247100;"1.62"
"2018-12-19";14452.0;14552.299805;14256.099609;14264.099609;14264.099609;370363000;"1.64"
"2018-12-18";14378.5;14502.599609;14373.799805;14416.900391;14416.900391;386847800;"1.62"
"2018-12-17";14567.599609;14577.599609;14323.700195;14362.700195;14362.700195;264315200;"1.63"
"2018-12-14";14651.200195;14715.299805;14567.299805;14595.099609;14595.099609;277086200;"1.64"
"2018-12-13";14814.099609;14871.700195;14721.299805;14750.400391;14750.400391;264774700;"1.63"
"2018-12-12";14802.299805;14902.700195;14778.900391;14783.099609;14783.099609;268233000;"1.65"
"2018-12-11";14891.200195;14957.799805;14665.900391;14667.799805;14667.799805;275639600;"1.65"
"2018-12-10";14769.599609;14795.900391;14610.200195;14728.299805;14728.299805;275806900;"1.63"
"2018-12-07";14986.5;15059.700195;14763.900391;14795.099609;14795.099609;311247900;"1.63"
"2018-12-06";14972.700195;14972.700195;14773.900391;14937.0;14937.0;358773400;"1.64"
"2018-12-05";15139.299805;15253.799805;15122.599609;15182.599609;15182.599609;180095700;"1.68"
"2018-12-04";15226.799805;15259.299805;15047.099609;15063.599609;15063.599609;285129100;"1.69"
"2018-12-03";15358.900391;15378.900391;15154.700195;15275.0;15275.0;294475600;"1.7"
"2018-11-30";15135.0;15214.299805;15125.400391;15197.799805;15197.799805;339228800;"1.7"
"2018-11-29";15157.099609;15251.200195;15138.900391;15194.0;15194.0;223082300;"1.71"
"2018-11-28";15002.900391;15171.299805;14981.700195;15171.299805;15171.299805;244842300;"1.72"
"2018-11-27";14994.400391;15021.700195;14907.5;14944.099609;14944.099609;219177800;"1.72"
"2018-11-26";15066.700195;15127.099609;14994.299805;15012.700195;15012.700195;245892100;"1.68"
"2018-11-23";14998.099609;15028.599609;14900.299805;15010.700195;15010.700195;154972200;"1.69"
"2018-11-22";15077.900391;15105.599609;15059.099609;15091.599609;15091.599609;83391200;"1.7"
"2018-11-21";14941.700195;15195.400391;14938.299805;15095.0;15095.0;270566000;"1.7"
"2018-11-20";14941.700195;14952.5;14810.599609;14877.0;14877.0;292344300;"1.7"
"2018-11-19";15137.400391;15170.799805;15040.5;15071.0;15071.0;225780400;"1.7"
"2018-11-16";15082.900391;15170.299805;15082.900391;15155.5;15155.5;285186100;"1.7"
"2018-11-15";15104.799805;15177.599609;15068.200195;15144.900391;15144.900391;268321200;"1.68"
"2018-11-14";15172.0;15258.0;15046.799805;15133.099609;15133.099609;295362000;"1.72"
"2018-11-13";15167.700195;15245.5;15108.599609;15131.799805;15131.799805;300186800;"1.72"
"2018-11-12";15263.200195;15263.700195;15145.599609;15156.400391;15156.400391;241196100;""
"2018-11-09";15271.400391;15304.0;15196.099609;15274.400391;15274.400391;287404100;"1.71"
"2018-11-08";15349.599609;15393.099609;15293.299805;15357.5;15357.5;281152200;"1.71"
"2018-11-07";15385.5;15392.0;15293.299805;15369.400391;15369.400391;271236500;"1.71"
"2018-11-06";15245.0;15295.299805;15220.200195;15292.700195;15292.700195;237092100;"1.71"
"2018-11-05";15136.799805;15242.400391;15136.799805;15217.700195;15217.700195;255477900;"1.71"
"2018-11-02";15204.299805;15222.900391;15037.200195;15119.299805;15119.299805;268963600;"1.72"
"2018-11-01";15032.799805;15150.200195;15029.200195;15150.200195;15150.200195;290143000;"1.73"
"2018-10-31";15004.900391;15085.5;14982.700195;15027.299805;15027.299805;310550400;"1.73"
"2018-10-30";14715.700195;14899.200195;14696.299805;14894.5;14894.5;286522100;"1.73"
"2018-10-29";14987.0;15019.599609;14639.700195;14721.799805;14721.799805;283759500;"1.72"
"2018-10-26";14827.599609;14950.799805;14732.0;14888.299805;14888.299805;269257400;"1.72"
"2018-10-25";14988.700195;15009.900391;14905.299805;14924.099609;14924.099609;300106200;"1.72"
"2018-10-24";15265.700195;15295.700195;14900.400391;14909.099609;14909.099609;290191400;"1.72"
"2018-10-23";15244.900391;15323.200195;15094.700195;15285.200195;15285.200195;346691200;"1.68"
"2018-10-22";15488.099609;15492.900391;15364.099609;15412.700195;15412.700195;278747800;"1.66"
"2018-10-19";15478.599609;15579.799805;15466.5;15470.099609;15470.099609;251480500;"1.66"
"2018-10-18";15486.400391;15513.599609;15380.700195;15404.099609;15404.099609;268976300;"1.6"
"2018-10-17";15548.799805;15556.599609;15452.700195;15529.900391;15529.900391;312769400;"1.64"
"2018-10-16";15456.900391;15579.700195;15399.5;15579.700195;15579.700195;280525800;"1.57"
"2018-10-15";15441.400391;15476.299805;15398.5;15409.5;15409.5;246963900;"1.63"
